Headquarters Location - Split 1,Headquarters Location - Split 2,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,Weight,Price,Chg,% Chg,State,Abbrev,Code,Weight_rank
Cupertino,California,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",11/30/82,320193,1977,5.647607,   122.15,-3.76,(-2.99%),California,Calif.,CA,1
Redmond,Washington,MSFT,Microsoft Corp.,Information Technology,Systems Software,"Redmond, Washington",6/1/94,789019,1975,5.259655,   238.23,-8,(-3.25%),Washington,Wash.,WA,2
Seattle,Washington,AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",11/18/05,1018724,1994,3.852847,"   3,147.21",-76.7,(-2.38%),Washington,Wash.,WA,3
Menlo Park,California,FB,"Facebook, Inc.",Communication Services,Interactive Media & Services,"Menlo Park, California",12/23/13,1326801,2004,2.076443,   301.58,-4.95,(-1.61%),California,Calif.,CA,4
Mountain View,California,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",4/3/14,1652044,1998,1.944478,"   2,185.49",-84.57,(-3.73%),California,Calif.,CA,5
Mountain View,California,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",4/3/06,1652044,1998,1.904296,"   2,227.01",-81.75,(-3.54%),California,Calif.,CA,6
Omaha,Nebraska,BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2/16/10,1067983,1839,1.572538,   280.75,-4.88,(-1.71%),Nebraska,Nebr.,NE,7
New York,New York,JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,"New York, New York",6/30/75,19617,1799,1.387963,   156.00,-2.54,(-1.60%),New York,N.Y.,NY,8
Palo Alto,California,TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,"Palo Alto, California",12/21/20,1318605,2003,1.362749,   578.70,-38.5,(-6.24%),California,Calif.,CA,9
New Brunswick,New Jersey,JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",6/30/73,200406,1886,1.262757,   167.40,-1.48,(-0.88%),New Jersey,N.J.,NJ,10
Minnetonka,Minnesota,UNH,UnitedHealth Group Inc.,Health Care,Managed Health Care,"Minnetonka, Minnesota",7/1/94,731766,1977,1.122512,   405.37,-6.33,(-1.54%),Minnesota,Minn.,MN,11
San Francisco,California,V,Visa Inc.,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",12/21/09,1403161,1958,1.08131,   218.70,-6.78,(-3.01%),California,Calif.,CA,12
Atlanta,Georgia,HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",3/31/88,354950,1978,1.036111,   315.35,-15.31,(-4.63%),Georgia,Ga.,GA,13
Santa Clara,California,NVDA,Nvidia Corporation,Information Technology,Semiconductors,"Santa Clara, California",11/30/01,1045810,1993,0.998142,   546.00,-26.25,(-4.59%),California,Calif.,CA,14
Cincinnati,Ohio,PG,Procter & Gamble,Consumer Staples,Personal Products,"Cincinnati, Ohio",3/4/57,80424,1837,0.956435,   135.04,-1.95,(-1.42%),Ohio,Ohio,OH,15
Burbank,California,DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,"Burbank, California",6/30/76,1744489,1923,0.943863,   175.50,-6.17,(-3.40%),California,Calif.,CA,16
Harrison,New York,MA,Mastercard Inc.,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",7/18/08,1141391,1966,0.90619,   353.49,-14.12,(-3.84%),New York,N.Y.,NY,17
Charlotte,North Carolina,BAC,Bank of America Corp,Financials,Diversified Banks,"Charlotte, North Carolina",6/30/76,70858,1874,0.901289,   40.78,-0.79,(-1.90%),North Carolina,N.C.,NC,18
San Jose,California,PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,"San Jose, California",7/20/15,1633917,1998,0.805003,   237.10,-11.5,(-4.63%),California,Calif.,CA,19
Irving,Texas,XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"Irving, Texas",3/4/57,34088,1999,0.747442,   58.60,-1.99,(-3.28%),Texas,Tex.,TX,20
Philadelphia,Pennsylvania,CMCSA,Comcast Corp.,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",11/19/02,1166691,1963,0.741685,   56.78,-0.72,(-1.25%),Pennsylvania,Pa.,PA,21
New York,New York,VZ,Verizon Communications,Communication Services,Integrated Telecommunication Services,"New York, New York",11/30/83,732712,1877,0.694885,   58.05,-0.49,(-0.84%),New York,N.Y.,NY,22
Dallas,Texas,T,AT&T Inc.,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",,732717,1885,0.656536,   31.73,-0.53,(-1.64%),Texas,Tex.,TX,23
San Jose,California,ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",5/5/97,796343,1982,0.648266,   471.99,-13.2,(-2.72%),California,Calif.,CA,24
Santa Clara,California,INTC,Intel Corp.,Information Technology,Semiconductors,"Santa Clara, California",12/31/76,50863,1968,0.641575,   53.49,-1.55,(-2.82%),California,Calif.,CA,25
San Jose,California,CSCO,Cisco Systems,Information Technology,Communications Equipment,"San Jose, California",12/1/93,858877,1984,0.633179,   51.50,-1.33,(-2.52%),California,Calif.,CA,26
New York,New York,PFE,Pfizer Inc.,Health Care,Pharmaceuticals,"New York, New York",3/4/57,78003,1849,0.627237,   39.41,0.06,-0.15%,New York,N.Y.,NY,27
Los Gatos,California,NFLX,Netflix Inc.,Communication Services,Movies & Entertainment,"Los Gatos, California",12/20/10,1065280,1997,0.608132,   482.84,-12.24,(-2.47%),California,Calif.,CA,28
Atlanta,Georgia,KO,Coca-Cola Company,Consumer Staples,Soft Drinks,"Atlanta, Georgia",3/4/57,21344,1886,0.600822,   53.67,-0.65,(-1.20%),Georgia,Ga.,GA,29
San Ramon,California,CVX,Chevron Corp.,Energy,Integrated Oil & Gas,"San Ramon, California",3/4/57,93410,1879,0.595496,   105.99,-0.71,(-0.67%),California,Calif.,CA,30
North Chicago,Illinois,ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",3/31/64,1800,1888,0.594458,   116.35,-2.04,(-1.72%),Illinois,Ill.,IL,31
North Chicago,Illinois,ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois",12/31/12,1551152,1888,0.579011,   114.60,-0.29,(-0.25%),Illinois,Ill.,IL,32
Purchase,New York,PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,"Purchase, New York",3/4/57,77476,1898,0.57107,   144.23,-1.42,(-0.97%),New York,N.Y.,NY,33
Kenilworth,New Jersey,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",3/4/57,310158,1891,0.558033,   77.50,0.04,-0.05%,New Jersey,N.J.,NJ,34
San Francisco,California,CRM,Salesforce.com,Information Technology,Application Software,"San Francisco, California",9/15/08,1108524,1999,0.553799,   208.47,-7.09,(-3.29%),California,Calif.,CA,35
Bentonville,Arkansas,WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",8/31/82,104169,1962,0.550785,   135.44,-4.11,(-2.95%),Arkansas,Ark.,AR,36
San Francisco,California,WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",6/30/76,72971,1852,0.543515,   45.30,-0.42,(-0.92%),California,Calif.,CA,37
Waltham,Massachusetts,TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",8/3/04,97745,1902,0.51491,   454.78,-9.22,(-1.99%),Massachusetts,Mass.,MA,38
San Jose,California,AVGO,Broadcom Inc.,Information Technology,Semiconductors,"San Jose, California",5/8/14,1730168,1961,0.502268,   422.00,-18.07,(-4.11%),California,Calif.,CA,39
Chicago,Illinois,MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,"Chicago, Illinois",6/30/70,63908,1940,0.498753,   226.49,-7.37,(-3.15%),Illinois,Ill.,IL,40
Washington County,Oregon,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",11/30/88,320187,1964,0.48929,   132.51,-4.61,(-3.36%),Oregon,Ore.,OR,41
Issaquah,Washington,COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",10/1/93,909832,1976,0.476412,   370.00,-8.18,(-2.16%),Washington,Wash.,WA,42
Dallas,Texas,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",,97476,1930,0.472648,   176.40,-6.8,(-3.71%),Texas,Tex.,TX,43
Charlotte,North Carolina,HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",3/31/64,773840,1906,0.453148,   219.00,-10.16,(-4.43%),North Carolina,N.C.,NC,44
New York,New York,C,Citigroup Inc.,Financials,Diversified Banks,"New York, New York",5/31/88,831001,1998,0.442432,   73.68,-1.19,(-1.59%),New York,N.Y.,NY,45
Atlanta,Georgia,UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Atlanta, Georgia",7/22/02,1090727,1907,0.438655,   209.52,-4.81,(-2.24%),Georgia,Ga.,GA,46
Indianapolis,Indiana,LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,"Indianapolis, Indiana",12/31/70,59478,1876,0.437101,   191.85,-2.9,(-1.49%),Indiana,Ind.,IN,47
Mooresville,North Carolina,LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",2/29/84,60667,1904,0.435793,   195.74,-9.6,(-4.68%),North Carolina,N.C.,NC,48
Omaha,Nebraska,UNP,Union Pacific Corp,Industrials,Railroads,"Omaha, Nebraska",3/4/57,100885,1862,0.431696,   223.99,-2.62,(-1.16%),Nebraska,Nebr.,NE,49
New York,New York,PM,Philip Morris International,Consumer Staples,Tobacco,"New York, New York",3/31/08,1413329,1847,0.430837,   96.22,-1.07,(-1.10%),New York,N.Y.,NY,50
Austin,Texas,ORCL,Oracle Corp.,Information Technology,Application Software,"Austin, Texas",8/31/89,1341439,1977,0.419402,   76.75,-0.94,(-1.21%),Texas,Tex.,TX,51
Juno Beach,Florida,NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",6/30/76,753308,1925,0.413594,   71.06,-3.01,(-4.06%),Florida,Fla.,FL,52
San Diego,California,QCOM,Qualcomm,Information Technology,Semiconductors,"San Diego, California",,804328,1985,0.41325,   123.75,-4.62,(-3.60%),California,Calif.,CA,53
Thousand Oaks,California,AMGN,Amgen Inc.,Health Care,Biotechnology,"Thousand Oaks, California",1/2/92,318154,1980,0.41164,   251.39,-0.91,(-0.36%),California,Calif.,CA,54
New York,New York,BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,"New York, New York",3/4/57,14272,1989,0.408967,   64.47,0.21,-0.33%,New York,N.Y.,NY,55
Seattle,Washington,SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,"Seattle, Washington",,829224,1971,0.379647,   109.24,-4.31,(-3.80%),Washington,Wash.,WA,56
Deerfield,Illinois,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",3/4/57,18230,1925,0.373246,   233.09,-6.21,(-2.60%),Illinois,Ill.,IL,57
Armonk,New York,IBM,International Business Machines,Information Technology,IT Consulting & Other Services,"Armonk, New York",3/4/57,51143,1911,0.368505,   140.20,-4.02,(-2.79%),New York,N.Y.,NY,58
New York,New York,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York, New York",,895421,1935,0.366091,   82.61,-2.31,(-2.72%),New York,N.Y.,NY,59
Waltham,Massachusetts,RTX,Raytheon Technologies,Industrials,Aerospace & Defense,"Waltham, Massachusetts",,101829,1922,0.364554,   82.28,-2.05,(-2.43%),Massachusetts,Mass.,MA,60
Chicago,Illinois,BA,Boeing Company,Industrials,Aerospace & Defense,"Chicago, Illinois",3/4/57,12927,1916,0.360529,   219.49,-9.39,(-4.10%),Illinois,Ill.,IL,61
New York,New York,GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,"New York, New York",7/22/02,886982,1869,0.357872,   348.50,-11.42,(-3.17%),New York,N.Y.,NY,62
Moline,Illinois,DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",3/4/57,315189,1837,0.346114,   368.00,-15.2,(-3.97%),Illinois,Ill.,IL,63
New York,New York,BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York, New York",4/4/11,1364742,1988,0.343385,   807.00,-37.1,(-4.40%),New York,N.Y.,NY,64
St. Paul,Minnesota,MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",8/9/76,66740,1902,0.338734,   197.48,-6.24,(-3.06%),Minnesota,Minn.,MN,65
Boston,Massachusetts,GE,General Electric,Industrials,Industrial Conglomerates,"Boston, Massachusetts",,40545,1892,0.330235,   12.69,-0.4,(-3.06%),Massachusetts,Mass.,MA,66
Santa Clara,California,AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,"Santa Clara, California",3/16/95,6951,1967,0.322817,   113.75,-9.8,(-7.93%),California,Calif.,CA,67
Boston,Massachusetts,AMT,American Tower Corp.,Real Estate,Specialized REITs,"Boston, Massachusetts",11/19/07,1053507,1995,0.318314,   240.90,-6.42,(-2.60%),Massachusetts,Mass.,MA,68
Woonsocket,Rhode Island,CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",3/4/57,64803,1996,0.317702,   83.38,-0.99,(-1.17%),Rhode Island,R.I.,RI,69
Mountain View,California,INTU,Intuit Inc.,Information Technology,Application Software,"Mountain View, California",12/5/00,896878,1983,0.303342,   399.99,5,-1.27%,California,Calif.,CA,70
Minneapolis,Minnesota,TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",12/31/76,27419,1902,0.302526,   203.49,-5.75,(-2.75%),Minnesota,Minn.,MN,71
Westlake,Texas,SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas",6/2/97,316709,1971,0.300272,   69.12,-1.51,(-2.14%),Texas,Tex.,TX,72
New York,New York,AXP,American Express,Financials,Consumer Finance,"New York, New York",6/30/76,4962,1850,0.292199,   151.50,-2.93,(-1.90%),New York,N.Y.,NY,73
Indianapolis,Indiana,ANTM,Anthem,Health Care,Managed Health Care,"Indianapolis, Indiana",7/25/02,1156039,1946,0.27776,   390.17,-4.32,(-1.10%),Indiana,Ind.,IN,74
Sunnyvale,California,ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,"Sunnyvale, California",6/2/08,1035267,1995,0.277298,   815.37,-21.38,(-2.56%),California,Calif.,CA,75
Stamford,Connecticut,CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",9/8/16,1091667,1993,0.277261,   670.00,-15.09,(-2.20%),Connecticut,Conn.,CT,76
Bethesda,Maryland,LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,"Bethesda, Maryland",7/31/84,936468,1995,0.273463,   377.30,-10.52,(-2.71%),Maryland,Md.,MD,77
Richmond,Virginia,MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",3/4/57,764180,1985,0.265828,   49.00,-1.43,(-2.84%),Virginia,Va.,VA,78
New York,New York,SPGI,S&P Global Inc.,Financials,Financial Exchanges & Data,"New York, New York",,64040,1917,0.26516,   370.00,-9.67,(-2.55%),New York,N.Y.,NY,79
Bloomfield,Connecticut,CI,Cigna,Health Care,Managed Health Care,"Bloomfield, Connecticut",6/30/76,1739940,1982,0.265014,   257.82,-3.04,(-1.17%),Connecticut,Conn.,CT,80
Jacksonville,Florida,FIS,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",11/10/06,1136893,1968,0.26198,   144.79,-3.25,(-2.20%),Florida,Fla.,FL,81
Norwalk,Connecticut,BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",11/6/09,1075531,1996,0.2616,"   2,172.25",-75.43,(-3.36%),Connecticut,Conn.,CT,82
Santa Clara,California,AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",3/20/17,2488,1969,0.259352,   74.15,-2.68,(-3.49%),California,Calif.,CA,83
Santa Clara,California,NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California",11/21/19,1373715,2003,0.258256,   462.00,-19.5,(-4.05%),California,Calif.,CA,84
Boise,Idaho,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",9/27/94,723125,1978,0.255199,   76.15,-4.53,(-5.61%),Idaho,Idaho,ID,85
Chicago,Illinois,MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",10/2/12,1103982,2012,0.247349,   61.56,-0.39,(-0.63%),Illinois,Ill.,IL,86
Framingham,Massachusetts,TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",9/30/85,109198,1987,0.247304,   69.30,-2.71,(-3.76%),Massachusetts,Mass.,MA,87
San Francisco,California,PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California",7/17/03,1045609,1983,0.242493,   112.00,-2.86,(-2.49%),California,Calif.,CA,88
Foster City,California,GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",7/1/04,882095,1987,0.239293,   67.19,-0.03,(-0.04%),California,Calif.,CA,89
Pittsburgh,Pennsylvania,PNC,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania",4/30/88,713676,1845,0.237599,   190.41,-3.63,(-1.87%),Pennsylvania,Pa.,PA,90
Fremont,California,LRCX,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California",6/29/12,707549,1980,0.236502,   551.57,-40.86,(-6.90%),California,Calif.,CA,91
Kalamazoo,Michigan,SYK,Stryker Corp.,Health Care,Health Care Equipment,"Kalamazoo, Michigan",12/12/00,310764,1941,0.236432,   244.00,-7.5,(-2.98%),Michigan,Mich.,MI,92
Minneapolis,Minnesota,USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",,36104,1968,0.235964,   60.39,0.24,-0.40%,Minnesota,Minn.,MN,93
Roseland,New Jersey,ADP,Automatic Data Processing,Information Technology,Data Processing & Outsourced Services,"Roseland, New Jersey",3/31/81,8670,1949,0.234766,   189.44,-5.03,(-2.59%),New Jersey,N.J.,NJ,94
Charlotte,North Carolina,TFC,Truist Financial,Financials,Regional Banks,"Charlotte, North Carolina",12/4/97,92230,1872,0.231492,   59.13,-1.36,(-2.25%),North Carolina,N.C.,NC,95
Parsippany,New Jersey,ZTS,Zoetis,Health Care,Pharmaceuticals,"Parsippany, New Jersey",6/21/13,1555280,1952,0.229529,   168.04,-2.19,(-1.29%),New Jersey,N.J.,NJ,96
Charlotte,North Carolina,DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",6/30/76,1326160,1904,0.225028,   101.00,-2.63,(-2.54%),North Carolina,N.C.,NC,97
Bellevue,Washington,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",7/15/19,1283699,1994,0.223868,   135.74,-2.26,(-1.64%),Washington,Wash.,WA,98
Houston,Texas,CCI,Crown Castle,Real Estate,Specialized REITs,"Houston, Texas",3/14/12,1051470,1994,0.222974,   178.00,-4.22,(-2.32%),Texas,Tex.,TX,99
Jacksonville,Florida,CSX,CSX Corp.,Industrials,Railroads,"Jacksonville, Florida",9/30/67,277948,1980,0.221981,   99.74,-1.8,(-1.77%),Florida,Fla.,FL,100
Houston,Texas,COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",3/4/57,1163165,2002,0.217915,   54.40,-1.32,(-2.37%),Texas,Tex.,TX,101
Memphis,Tennessee,FDX,FedEx Corporation,Industrials,Air Freight & Logistics,"Memphis, Tennessee",12/31/80,1048911,1971,0.212068,   294.00,-11.64,(-3.81%),Tennessee,Tenn.,TN,102
Chicago,Illinois,CME,CME Group Inc.,Financials,Financial Exchanges & Data,"Chicago, Illinois",8/11/06,1156375,1848,0.210773,   215.00,2.91,-1.37%,Illinois,Ill.,IL,103
Norfolk,Virginia,NSC,Norfolk Southern Corp.,Industrials,Railroads,"Norfolk, Virginia",3/4/57,702165,1881,0.206409,   281.70,-4.96,(-1.73%),Virginia,Va.,VA,104
Detroit,Michigan,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",6/6/13,1467858,1908,0.205281,   53.50,-2.23,(-4.00%),Michigan,Mich.,MI,105
Tysons Corner,Virginia,COF,Capital One Financial,Financials,Consumer Finance,"Tysons Corner, Virginia",7/1/98,927628,1994,0.20396,   149.61,-5.15,(-3.33%),Virginia,Va.,VA,106
Santa Monica,California,ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",8/31/15,718877,2008,0.203704,   91.84,-3.5,(-3.67%),California,Calif.,CA,107
Franklin Lakes,New Jersey,BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",9/30/72,10795,1897,0.202229,   241.64,0.44,-0.18%,New Jersey,N.J.,NJ,108
New York,New York,CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York, New York",3/4/57,21665,1806,0.199568,   81.80,-0.64,(-0.78%),New York,N.Y.,NY,109
Atlanta,Georgia,SO,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",3/4/57,92122,1945,0.19772,   64.60,-1.2,(-1.82%),Georgia,Ga.,GA,110
New York,New York,MMC,Marsh & McLennan,Financials,Insurance Brokers,"New York, New York",8/31/87,62709,1905,0.197605,   132.20,-2.57,(-1.91%),New York,N.Y.,NY,111
Cleveland,Ohio,SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",6/30/64,89800,1866,0.19703,   277.94,-7.9,(-2.76%),Ohio,Ohio,OH,112
Brookfield,Wisconsin,FISV,Fiserv Inc,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",4/2/01,798354,1984,0.195117,   113.08,-1.75,(-1.52%),Wisconsin,Wis.,WI,113
Glenview,Illinois,ITW,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois",2/28/86,49826,1912,0.194407,   231.79,-4.58,(-1.94%),Illinois,Ill.,IL,114
New York,New York,EL,Estée Lauder Companies,Consumer Staples,Personal Products,"New York, New York",1/5/06,1001250,1946,0.191911,   289.90,-4.91,(-1.67%),New York,N.Y.,NY,115
Allentown,Pennsylvania,APD,Air Products & Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",4/30/85,2969,1940,0.183288,   293.16,-7.58,(-2.52%),Pennsylvania,Pa.,PA,116
Redwood City,California,EQIX,Equinix,Real Estate,Specialized REITs,"Redwood City, California",3/20/15,1101239,1998,0.181437,   705.36,-12.68,(-1.77%),California,Calif.,CA,117
Atlanta,Georgia,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",9/26/07,1571949,2000,0.181151,   112.23,-0.84,(-0.74%),Georgia,Ga.,GA,118
